source_id	theme	title	year	authors	venue	doi	url	verification_status	evidence_level	role
S01	standard	API Recommended Practice 1170: Design and Operation of Solution-mined Salt Caverns Used for Natural Gas Storage, 2nd edition	2025	American Petroleum Institute	API Recommended Practice 1170		https://www.api.org/products-and-services/standards/important-standards-announcements/pressrelease-rp11701171	official_page_verified	standard_metadata	Salt-cavern facility, solution-mining, operation, and integrity terminology
S02	standard	ASTM D653-26a: Standard Terminology Relating to Soil, Rock, and Contained Fluids	2026	ASTM International	ASTM D653	10.1520/D0653-26A	https://store.astm.org/standards/d653	official_page_verified	standard_metadata	General geotechnical terminology
S03	standard	ISO/IEC 22989:2022 Information technology — Artificial intelligence — Artificial intelligence concepts and terminology	2022	ISO/IEC	ISO/IEC 22989:2022		https://www.iso.org/standard/74296.html	official_page_verified	standard_metadata	General AI concepts and terminology
SC01	salt-cavern-general	Safety of Salt Caverns Used for Underground Storage Blow Out; Mechanical Instability; Seepage; Cavern Abandonment	2003	P. Bérest; B. Brouard	Oil & Gas Science and Technology	10.2516/ogst:2003023	https://doi.org/10.2516/ogst:2003023	doi_verified	metadata_only	Safety, seepage, instability, and abandonment seed
SC02	operation-pressure	Determination of the maximum allowable gas pressure for an underground gas storage salt cavern – A case study of Jintan, China	2019	Tongtao Wang; Jianjun Li; Gang Jing; Qingqing Zhang; Chunhe Yang; J.J.K. Daemen	Journal of Rock Mechanics and Geotechnical Engineering	10.1016/j.jrmge.2018.10.004	https://doi.org/10.1016/j.jrmge.2018.10.004	doi_verified	metadata_only	Maximum allowable gas pressure
SC03	failure-criteria	Dilatancy Criteria for Salt Cavern Design: A Comparison Between Stress- and Strain-Based Approaches	2017	P. Labaune; A. Rouabhi; M. Tijani; L. Blanco-Martín; T. You	Rock Mechanics and Rock Engineering	10.1007/s00603-017-1338-4	https://doi.org/10.1007/s00603-017-1338-4	doi_verified	metadata_only	Dilatancy design criteria
SC04	failure-criteria	Dilatancy and tensile criteria for salt cavern design in the context of cyclic loading for energy storage	2019	P. Labaune; A. Rouabhi	Journal of Natural Gas Science and Engineering	10.1016/j.jngse.2018.10.010	https://doi.org/10.1016/j.jngse.2018.10.010	doi_verified	metadata_only	Dilatancy, tension, and cyclic operation
SC05	thermal-cycling	Experimental and numerical investigation into rapid cooling of rock salt related to high frequency cycling of storage caverns	2018	Laura Blanco-Martín; Ahmed Rouabhi; Joël Billiotte; Faouzi Hadj-Hassen; Bruno Tessier; Grégoire Hévin; Cyrille Balland; Emmanuel Hertz	International Journal of Rock Mechanics and Mining Sciences	10.1016/j.ijrmms.2018.01.008	https://doi.org/10.1016/j.ijrmms.2018.01.008	doi_verified	metadata_only	Rapid cooling and high-frequency cycling
SC06	creep	Creep deformation analysis of gas storage in salt caverns	2021	Xuqiang Ma; Zijun Xu; Liuping Chen; Xilin Shi	International Journal of Rock Mechanics and Mining Sciences	10.1016/j.ijrmms.2021.104635	https://doi.org/10.1016/j.ijrmms.2021.104635	doi_verified	abstract_checked	Creep shrinkage and pressure difference
SC07	cyclic-loading	Stability and serviceability of underground energy storage caverns in rock salt subjected to mechanical cyclic loading	2016	Kavan Khaledi; Elham Mahmoudi; Maria Datcheva; Tom Schanz	International Journal of Rock Mechanics and Mining Sciences	10.1016/j.ijrmms.2016.04.010	https://doi.org/10.1016/j.ijrmms.2016.04.010	doi_verified	metadata_only	Stability and serviceability
SC08	caes	Analysis of compressed air storage caverns in rock salt considering thermo-mechanical cyclic loading	2016	Kavan Khaledi; Elham Mahmoudi; Maria Datcheva; Tom Schanz	Environmental Earth Sciences	10.1007/s12665-016-5970-1	https://doi.org/10.1007/s12665-016-5970-1	doi_verified	metadata_only	CAES and thermo-mechanical cycling
SC09	geomechanics	Geomechanical simulation of energy storage in salt formations	2021	Kishan Ramesh Kumar; Artur Makhmutov; Christopher J. Spiers; Hadi Hajibeygi	Scientific Reports	10.1038/s41598-021-99161-8	https://doi.org/10.1038/s41598-021-99161-8	doi_verified	metadata_only	Geomechanical simulation
SC10	hydrogen	Hydromechanical modelling of salt caverns subjected to cyclic hydrogen injection and withdrawal	2023	Ever-Dennys Coarita-Tintaya; Fabrice Golfier; Dragan Grgic; Mountaka Souley; Long Cheng	Computers and Geotechnics	10.1016/j.compgeo.2023.105690	https://doi.org/10.1016/j.compgeo.2023.105690	doi_verified	metadata_only	Hydromechanical modelling and hydrogen cycling
SC11	hydrogen-review	Comprehensive review of geomechanics of underground hydrogen storage in depleted reservoirs and salt caverns	2023	Kishan Ramesh Kumar; Herminio Honorio; Debanjan Chandra; Martin Lesueur; Hadi Hajibeygi	Journal of Energy Storage	10.1016/j.est.2023.108912	https://doi.org/10.1016/j.est.2023.108912	doi_verified	metadata_only	Geomechanics review
SC12	hydrogen-review	A comprehensive review on geo-storage of H2 in salt caverns: Prospect and research advances	2024	Bennet Nii Tackie-Otoo; Md Bashirul Haq	Fuel	10.1016/j.fuel.2023.129609	https://doi.org/10.1016/j.fuel.2023.129609	doi_verified	metadata_only	Hydrogen geo-storage review
SC13	review	The role of underground salt caverns for large-scale energy storage: A review and prospects	2023	Wei Liu; Qihang Li; Chunhe Yang; Xilin Shi; Jifang Wan; Maria Jose Jurado; Yinping Li; Deyi Jiang; Jie Chen; Weibiao Qiao; Xiong Zhang; Jinyang Fan; Tianji Peng; Yuxian He	Energy Storage Materials	10.1016/j.ensm.2023.103045	https://doi.org/10.1016/j.ensm.2023.103045	doi_verified	metadata_only	Broad salt-cavern energy-storage review
SC14	hydrogen	Large-scale hydrogen energy storage in salt caverns	2012	Ahmet Ozarslan	International Journal of Hydrogen Energy	10.1016/j.ijhydene.2012.07.111	https://doi.org/10.1016/j.ijhydene.2012.07.111	doi_verified	abstract_checked	Classic large-scale hydrogen-storage seed
SC15	hydrogen-capacity	Does the United Kingdom have sufficient geological storage capacity to support a hydrogen economy? Estimating the salt cavern storage potential of bedded halite formations	2022	John D.O. Williams; J.P. Williamson; Daniel Parkes; David J. Evans; Karen L. Kirk; Nixon Sunny; Edward Hough; Hayley Vosper; Maxine C. Akhurst	Journal of Energy Storage	10.1016/j.est.2022.105109	https://doi.org/10.1016/j.est.2022.105109	doi_verified	metadata_only	Bedded-halite storage potential
SC16	caes	Long-term stability analysis and evaluation of salt cavern compressed air energy storage power plant under creep-fatigue interaction	2022	Xiaopeng Wang; Junbao Wang; Qiang Zhang; Zhanping Song; Xinrong Liu; Shijin Feng	Journal of Energy Storage	10.1016/j.est.2022.105843	https://doi.org/10.1016/j.est.2022.105843	doi_verified	metadata_only	CAES stability and creep-fatigue interaction
SC17	shape-stability	Research on the Stability and Treatments of Natural Gas Storage Caverns With Different Shapes in Bedded Salt Rocks	2020	Wei Liu; Zhixin Zhang; Jinyang Fan; Deyi Jiang; Jaak J. K. Daemen	IEEE Access	10.1109/access.2020.2967078	https://doi.org/10.1109/access.2020.2967078	doi_verified	metadata_only	Shape and stability in bedded salt
SC18	horizontal-cavern	Stability analysis of U-shaped horizontal salt cavern for underground natural gas storage	2021	Peng Li; Yinping Li; Xilin Shi; Ahu Zhao; Shefeng Hao; Xulong Gong; Su Jiang; Yuan Liu	Journal of Energy Storage	10.1016/j.est.2021.102541	https://doi.org/10.1016/j.est.2021.102541	doi_verified	metadata_only	Horizontal cavern geometry
SC19	deep-storage	Feasibility analysis of salt cavern gas storage in extremely deep formation: A case study in China	2022	Kai Zhao; Yuanxi Liu; Yinping Li; Hongling Ma; Wei Hou; Changfu Yu; Haolin Liu; Chang Feng; Chunhe Yang	Journal of Energy Storage	10.1016/j.est.2021.103649	https://doi.org/10.1016/j.est.2021.103649	doi_verified	metadata_only	Extremely deep formation
SC20	seepage	Theoretical research on gas seepage in the formations surrounding bedded gas storage salt cavern	2022	Xiang-Sheng Chen; Yin-Ping Li; Ya-Long Jiang; Yuan-Xi Liu; Tao Zhang	Petroleum Science	10.1016/j.petsci.2022.01.021	https://doi.org/10.1016/j.petsci.2022.01.021	doi_verified	metadata_only	Gas seepage in surrounding formations
SC21	construction	Key technologies for salt-cavern underground gas storage construction and evaluation and their application	2018	Qiqi Wanyan; Guosheng Ding; Yan Zhao; Kang Li; Jingen Deng; Yali Zheng	Natural Gas Industry B	10.1016/j.ngib.2018.11.011	https://doi.org/10.1016/j.ngib.2018.11.011	doi_verified	metadata_only	Construction and evaluation terminology
SC22	solution-mining	Solution mining technology of enlarging space for thick-sandwich salt cavern storage	2017	Yali ZHENG; Yanjie ZHAO; Guosheng DING; Zhide WU; Shouquan LU; Xin LAI; Xiaosong QIU; Dong YANG; Bingjie HAN; Lingxin WANG	Petroleum Exploration and Development	10.1016/s1876-3804(17)30018-6	https://doi.org/10.1016/s1876-3804(17)30018-6	doi_verified	metadata_only	Solution mining and cavern enlargement
SC23	construction	Energy storage salt cavern construction and evaluation technology	2023	Jifang Wan; Tao Meng; Jinlong Li; Wei Liu	Advances in Geo-Energy Research	10.46690/ager.2023.09.01	https://doi.org/10.46690/ager.2023.09.01	doi_verified	metadata_only	Construction and evaluation review
SC24	rock-salt	Mineralogy, microstructures and geomechanics of rock salt for underground gas storage	2023	Veerle Vandeginste; Yukun Ji; Frank Buysschaert; George Anoyatis	Deep Underground Science and Engineering	10.1002/dug2.12039	https://doi.org/10.1002/dug2.12039	doi_verified	metadata_only	Rock-salt mineralogy and geomechanics
AI01	geotech-ai-review	Recent Advances and Future Challenges for Artificial Neural Systems in Geotechnical Engineering Applications	2009	Mohamed A. Shahin; Mark B. Jaksa; Holger R. Maier	Advances in Artificial Neural Systems	10.1155/2009/308239	https://doi.org/10.1155/2009/308239	doi_verified	metadata_only	Geotechnical neural-network terminology
AI02	rock-ai-review	Application of artificial intelligence to rock mechanics: An overview	2021	Abiodun Ismail Lawal; Sangki Kwon	Journal of Rock Mechanics and Geotechnical Engineering	10.1016/j.jrmge.2020.05.010	https://doi.org/10.1016/j.jrmge.2020.05.010	doi_verified	metadata_only	AI in rock mechanics
AI03	constitutive-ml	State-of-the-Art Review of Machine Learning Applications in Constitutive Modeling of Soils	2021	Pin Zhang; Zhen-Yu Yin; Yin-Fu Jin	Archives of Computational Methods in Engineering	10.1007/s11831-020-09524-z	https://doi.org/10.1007/s11831-020-09524-z	doi_verified	metadata_only	ML-based constitutive modelling
