zh	en	sense_id	domain	category	context	context_cues	status	authority	source	source_id	cnki_frequency	cnki_evidence	selection	decision_scope	confirmed_by	confirmed_at	forbidden	notes
相似理论	similitude theory	similitude_theory	geotechnical-analogue-materials	similitude	模型与原型相似性的理论体系	模型;原型;量纲;缩尺	recommended	literature	Rock analogue review and scaling laws	AM01|AM10	not-collected	blocked_by_human_verification_2026-08-26						原作者固定用 similarity theory 时保留
相似原理	principle of similitude	principle_of_similitude	geotechnical-analogue-materials	similitude	物理模型试验的相似性原理	原型;控制方程;相似关系	recommended	literature	Rock analogue review	AM01|AM10	not-collected	blocked_by_human_verification_2026-08-26
相似准则	similitude criterion	similitude_criterion	geotechnical-analogue-materials	similitude	由控制方程或量纲分析导出的相似准则	无量纲;准则数;模型原型	recommended	literature	Scaling laws	AM10	not-collected	blocked_by_human_verification_2026-08-26
相似条件	similitude condition	similitude_condition	geotechnical-analogue-materials	similitude	模型与原型需要满足的条件	满足;一致;模型原型	recommended	literature	Rock analogue review and scaling laws	AM01|AM10	not-collected	blocked_by_human_verification_2026-08-26
相似关系	scaling relation	scaling_relation	geotechnical-analogue-materials	similitude	模型量与原型量之间的换算关系	换算;模型值;原型值	recommended	literature	Rock analogue review	AM01|AM10	not-collected	blocked_by_human_verification_2026-08-26
相似律	scaling law	scaling_law	geotechnical-analogue-materials	similitude	成组的模型原型缩放规律	长度;时间;应力;N倍	verified	literature	Scaling laws	AM10	not-collected	blocked_by_human_verification_2026-08-26
量纲分析	dimensional analysis	dimensional_analysis	geotechnical-analogue-materials	similitude	由基本量纲推导相似关系	基本量纲;π项;变量	verified	literature	Scaling laws	AM10	not-collected	blocked_by_human_verification_2026-08-26
Buckingham π定理	Buckingham π theorem	buckingham_pi_theorem	geotechnical-analogue-materials	similitude	用于构造无量纲组合的定理	π项;无量纲;量纲分析	verified	literature	Scaling laws	AM10	not-collected	blocked_by_human_verification_2026-08-26
量纲齐次性	dimensional homogeneity	dimensional_homogeneity	geotechnical-analogue-materials	similitude	方程各项量纲一致	方程;单位;齐次	recommended	literature	Scaling laws	AM10	not-collected	blocked_by_human_verification_2026-08-26
无量纲参数	dimensionless parameter	dimensionless_parameter	geotechnical-analogue-materials	similitude	不带物理量纲的控制参数	π项;单位为1;相等	recommended	literature	Scaling laws	AM10	not-collected	blocked_by_human_verification_2026-08-26
原型	prototype	prototype	geotechnical-analogue-materials	model-system	被缩尺模型代表的实际工程对象	现场;实际工程;模型对比	verified	literature	Rock analogue review	AM01|AM10	not-collected	blocked_by_human_verification_2026-08-26
物理模型	physical model	physical_model	geotechnical-analogue-materials	model-system	以实体材料再现工程过程的模型	实验室;实体;缩尺	verified	literature	Rock analogue and transparent soil reviews	AM01|AM03	not-collected	blocked_by_human_verification_2026-08-26
物理模型试验	physical model test	physical_model_test	geotechnical-analogue-materials	model-system	在实体模型上实施的试验	模型箱;加载;监测	verified	literature	Physical model literature	AM02|AM07	not-collected	blocked_by_human_verification_2026-08-26
地质力学模型试验	geomechanical model test	geomechanical_model_test	geotechnical-analogue-materials	model-system	模拟岩体或地下工程的模型试验	岩体;洞室;地质力学	recommended	literature	Chinese geomechanical-model literature	AM08|AM09	not-collected	blocked_by_human_verification_2026-08-26
缩尺物理模型	scaled physical model	scaled_physical_model	geotechnical-analogue-materials	model-system	按比例缩小且遵循缩放关系的实体模型	缩尺;比例;模型原型	verified	literature	Rock analogue review and scaling laws	AM01|AM10	not-collected	blocked_by_human_verification_2026-08-26
小尺度物理模型	small-scale physical model	small_scale_physical_model	geotechnical-analogue-materials	model-system	强调实验室小尺度但未必严格相似	小模型;实验室尺度	context-dependent	literature	Transparent soil literature	AM03	not-collected	blocked_by_human_verification_2026-08-26					scaled physical model	严格满足缩尺律时用 scaled physical model
离心模型试验	geotechnical centrifuge model test	centrifuge_model_test	geotechnical-analogue-materials	model-system	在增强重力场中试验缩尺模型	离心机;Ng;应力恢复	verified	literature	Scaling laws	AM10	not-collected	blocked_by_human_verification_2026-08-26
常重力模型试验	1g physical model test	one_g_model_test	geotechnical-analogue-materials	model-system	在正常重力场进行的模型试验	1g;常重力;非离心	recommended	literature	Transparent soil models	AM03	not-collected	blocked_by_human_verification_2026-08-26
模型—原型关系	model–prototype relationship	model_prototype_relationship	geotechnical-analogue-materials	similitude	模型量与原型量的对应关系	换算;缩放;预测	recommended	literature	Scaling laws	AM10	not-collected	blocked_by_human_verification_2026-08-26
相似常数	similarity constant	similarity_constant	geotechnical-analogue-materials	similitude	中文相似理论中定义的常数	C_L;C_σ;比值	context-dependent	literature	Chinese geomechanical-model literature	AM08|AM09	not-collected	blocked_by_human_verification_2026-08-26						实质为变量换算系数时优先 scale factor
相似比	similarity ratio	similarity_ratio_defined	geotechnical-analogue-materials	similitude	沿用作者明确定义的模型原型比	C_L;公式;模型/原型	context-dependent	literature	Chinese geomechanical-model literature	AM08|AM09	not-collected	blocked_by_human_verification_2026-08-26						必须记录比值方向
比例因子	scale factor	scale_factor_quantity	geotechnical-analogue-materials	similitude	指定物理量的模型原型换算系数	length;stress;time;density	verified	literature	Scaling laws	AM01|AM10	not-collected	blocked_by_human_verification_2026-08-26
几何缩尺比	geometric scale ratio	geometric_scale_ratio	geotechnical-analogue-materials	similitude	模型与原型几何尺寸之比	1:N;长度;尺寸	recommended	literature	Scaling laws	AM01|AM10	not-collected	blocked_by_human_verification_2026-08-26						也可按定义用 length scale factor
时间比例因子	time scale factor	time_scale_factor	geotechnical-analogue-materials	similitude	模型与原型时间尺度换算	动力;固结;扩散	verified	literature	Scaling laws	AM10	not-collected	blocked_by_human_verification_2026-08-26
应力比例因子	stress scale factor	stress_scale_factor	geotechnical-analogue-materials	similitude	模型与原型应力换算	应力水平;σm/σp	recommended	literature	Scaling laws	AM10	not-collected	blocked_by_human_verification_2026-08-26
密度比例因子	density scale factor	density_scale_factor	geotechnical-analogue-materials	similitude	模型与原型密度换算	ρm/ρp;材料密度	recommended	literature	Scaling laws	AM10	not-collected	blocked_by_human_verification_2026-08-26
几何相似	geometric similarity	geometric_similarity	geotechnical-analogue-materials	similitude	几何形状和长度比例相似	长度;角度;形状	recommended	literature	Rock analogue review and scaling laws	AM01|AM10	not-collected	blocked_by_human_verification_2026-08-26
动力相似	dynamic similarity	dynamic_similarity	geotechnical-analogue-materials	similitude	力和惯性等动力过程相似	惯性力;重力;动力荷载	recommended	literature	Scaling laws	AM10	not-collected	blocked_by_human_verification_2026-08-26
本构相似	constitutive similitude	constitutive_similitude	geotechnical-analogue-materials	similitude	模型材料与原型材料本构响应相似	应力应变;非线性;屈服	recommended	literature	Rock analogue review	AM01	not-collected	blocked_by_human_verification_2026-08-26
边界效应	boundary effect	boundary_effect	geotechnical-analogue-materials	error-control	模型箱边界对观测结果的影响	侧壁;底边界;反射;约束	verified	literature	Physical model literature	AM01|AM03	not-collected	blocked_by_human_verification_2026-08-26
尺度效应	scale effect	scale_effect	geotechnical-analogue-materials	error-control	尺寸变化导致性质或响应改变	试件尺寸;颗粒尺寸;强度变化	verified	literature	Rock analogue review	AM01	not-collected	blocked_by_human_verification_2026-08-26
相似材料	similar material	similar_material_cn	geotechnical-analogue-materials	material-system	沿用中国地质力学模型论文的固定英文	配比;地质力学模型;中文作者	context-dependent	literature	Chinese bilingual literature	AM08|AM09	not-collected	blocked_by_human_verification_2026-08-26					analogue material	不自动覆盖国际用法
相似材料	analogue material	analogue_material_international	geotechnical-analogue-materials	material-system	国际物理模拟中代表天然介质的材料	physical modelling;prototype;scaled experiment	context-dependent	literature	Rock analogue review	AM01	not-collected	blocked_by_human_verification_2026-08-26						美式拼写 analog material
