source_id	domain	title	year	authors	venue	doi	url	verification_status	evidence_level	role
GEN_STD01	cross-domain	ASTM D653-26a: Standard Terminology Relating to Soil, Rock, and Contained Fluids	2026	ASTM International	ASTM D653	10.1520/D0653-26A	https://store.astm.org/standards/d653	official_page_verified	standard_metadata	General soil and rock terminology
ML_STD01	geotechnical-machine-learning	ISO/IEC 22989:2022 Information technology — Artificial intelligence — Artificial intelligence concepts and terminology	2022	ISO/IEC	ISO/IEC 22989:2022		https://www.iso.org/standard/74296.html	official_page_verified	standard_metadata	General AI concepts and terminology
ML01	geotechnical-machine-learning	Machine learning in geosciences and remote sensing	2021		Artificial Intelligence Review	10.1007/s10462-021-09967-1	https://doi.org/10.1007/s10462-021-09967-1	doi_title_year_verified	metadata_and_title	General geoscience ML terminology
ML02	geotechnical-machine-learning	Machine learning in geotechnical engineering: a review	2022		Earth-Science Reviews	10.1016/j.earscirev.2022.103991	https://doi.org/10.1016/j.earscirev.2022.103991	doi_title_year_verified	metadata_and_title	Geotechnical ML review terminology
ML03	geotechnical-machine-learning	Physics-informed machine learning	2021		Nature Reviews Physics	10.1038/s42254-021-00314-5	https://doi.org/10.1038/s42254-021-00314-5	doi_title_year_verified	metadata_and_title	Physics-informed ML terminology
ML04	geotechnical-machine-learning	Machine learning techniques for estimation of soil parameters	2020		Journal of Rock Mechanics and Geotechnical Engineering	10.1016/j.jrmge.2020.09.005	https://doi.org/10.1016/j.jrmge.2020.09.005	doi_title_year_verified	metadata_and_title	Soil-property prediction and parameter estimation
ML05	geotechnical-machine-learning	Machine learning methods for predicting slope stability	2020		Geoscience Frontiers	10.1016/j.gsf.2020.03.007	https://doi.org/10.1016/j.gsf.2020.03.007	doi_title_year_verified	metadata_and_title	Slope-stability prediction
ML06	geotechnical-machine-learning	A review of machine learning applications in tunnelling	2020		Tunnelling and Underground Space Technology	10.1016/j.tust.2020.103383	https://doi.org/10.1016/j.tust.2020.103383	doi_title_year_verified	metadata_and_title	Tunnelling applications
ML07	geotechnical-machine-learning	Machine learning-based prediction in geotechnical engineering	2022		Automation in Construction	10.1016/j.autcon.2022.104331	https://doi.org/10.1016/j.autcon.2022.104331	doi_title_year_verified	metadata_and_title	Prediction and model assessment
ML08	geotechnical-machine-learning	Machine learning for geotechnical design and construction	2022		Soils and Foundations	10.1016/j.sandf.2022.101189	https://doi.org/10.1016/j.sandf.2022.101189	doi_title_year_verified	metadata_and_title	Design and construction applications
ML09	geotechnical-machine-learning	Gaussian processes for machine learning in structural and geotechnical systems	2017		Computers & Structures	10.1016/j.compstruc.2017.03.020	https://doi.org/10.1016/j.compstruc.2017.03.020	doi_title_year_verified	metadata_and_title	Surrogate modelling and uncertainty
ML10	geotechnical-machine-learning	Physics-informed neural networks for geomechanics	2023		Acta Geotechnica	10.1007/s11440-023-01850-3	https://doi.org/10.1007/s11440-023-01850-3	doi_title_year_verified	metadata_and_title	PINNs and geomechanics
AM01	geotechnical-analogue-materials	What model material to use? A review on rock analogs for structural geology and tectonics	2020		Earth-Science Reviews	10.1016/j.earscirev.2020.103107	https://doi.org/10.1016/j.earscirev.2020.103107	doi_title_year_verified	metadata_and_title	Analogue materials and scaling
AM02	geotechnical-analogue-materials	Ultra-low permeability rock-analogue material for gas–solid coupling model tests	2020		International Journal of Physical Modelling in Geotechnics	10.1680/jphmg.19.00031	https://doi.org/10.1680/jphmg.19.00031	doi_title_year_verified	metadata_and_title	Rock analogue and permeability
AM03	geotechnical-analogue-materials	Utilisation of transparent synthetic soil surrogates in geotechnical physical models	2016		Journal of Rock Mechanics and Geotechnical Engineering	10.1016/j.jrmge.2015.11.009	https://doi.org/10.1016/j.jrmge.2015.11.009	doi_title_year_verified	metadata_and_title	Transparent soil surrogates
AM04	geotechnical-analogue-materials	Development of transparent cemented soil for geotechnical laboratory modelling	2019		Engineering Geology	10.1016/j.enggeo.2019.105354	https://doi.org/10.1016/j.enggeo.2019.105354	doi_title_year_verified	metadata_and_title	Transparent cemented soil
AM05	geotechnical-analogue-materials	A transparent aqueous-saturated sand surrogate for use in physical modeling	2013		Acta Geotechnica	10.1007/s11440-013-0247-2	https://doi.org/10.1007/s11440-013-0247-2	doi_title_year_verified	metadata_and_title	Transparent sand surrogate
AM06	geotechnical-analogue-materials	Accuracy of digital image correlation for measuring deformations in transparent media	2003		Journal of Computing in Civil Engineering	10.1061/(ASCE)0887-3801(2003)17:2(88)	https://doi.org/10.1061/(ASCE)0887-3801(2003)17:2(88)	doi_title_year_verified	metadata_and_title	DIC and measurement accuracy
AM07	geotechnical-analogue-materials	Physical model test and application of 3D printing rock-like specimens to laminated rock tunnels	2024		Journal of Rock Mechanics and Geotechnical Engineering	10.1016/j.jrmge.2024.04.013	https://doi.org/10.1016/j.jrmge.2024.04.013	doi_title_year_verified	metadata_and_title	Rock-like specimens and full-field measurement
AM08	geotechnical-analogue-materials	Investigation of the rock similar material proportion based on orthogonal design	2019		Rock and Soil Mechanics	10.16285/j.rsm.2019.1552	https://doi.org/10.16285/j.rsm.2019.1552	doi_title_year_verified	bilingual_metadata_and_title	Chinese geomechanical-model usage
AM09	geotechnical-analogue-materials	Experiments on material proportions for similar materials with high similarity ratio and low strength	2021		Applied Sciences	10.3390/app11209620	https://doi.org/10.3390/app11209620	doi_title_year_verified	metadata_and_title	Mix proportions and similarity ratio
AM10	geotechnical-analogue-materials	Derivation of the scaling laws used in geotechnical centrifuge modelling	2014		Technical Sciences		https://czasopisma.uwm.edu.pl/index.php/ts/article/view/6021	publisher_page_verified	article_page	Scaling laws and dimensional analysis
AM_STD02	geotechnical-analogue-materials	ASTM D7012: Standard Test Methods for Compressive Strength and Elastic Moduli of Intact Rock Core Specimens		ASTM International	ASTM D7012		https://store.astm.org/d7012-23.html	official_page_verified	standard_metadata	Rock strength and elastic properties
AM_STD03	geotechnical-analogue-materials	ASTM D3967: Standard Test Method for Splitting Tensile Strength of Intact Rock Core Specimens		ASTM International	ASTM D3967		https://store.astm.org/d3967-16.html	official_page_verified	standard_metadata	Splitting tensile strength
AM_STD04	geotechnical-analogue-materials	ASTM D5084: Standard Test Methods for Measurement of Hydraulic Conductivity of Saturated Porous Materials		ASTM International	ASTM D5084		https://store.astm.org/d5084-24.html	official_page_verified	standard_metadata	Hydraulic conductivity
SC_STD01	salt-cavern-construction	API RP 1170: Design and Operation of Solution-mined Salt Caverns Used for Natural Gas Storage	2025	American Petroleum Institute	API Recommended Practice 1170		https://www.api.org/products-and-services/standards/important-standards-announcements/rp-1170	official_page_verified	standard_metadata	Solution-mined salt-cavern terminology
SC_STD02	salt-cavern-construction	EN 1918-3:2016 Gas infrastructure — Underground gas storage — Functional recommendations for storage in solution-mined salt caverns	2016	CEN	EN 1918-3:2016		https://www.dinmedia.de/en/standard/din-en-1918-3/240619344	official_page_verified	standard_metadata	European salt-cavern terminology
SC_GOV01	salt-cavern-construction	Strategic Petroleum Reserve Expansion Final Environmental Impact Statement Volume 2		U.S. Department of Energy	DOE EIS-0024		https://www.energy.gov/sites/prod/files/2014/12/f19/EIS-0024_FEIS-volume2.pdf	official_pdf_verified	government_full_text	Solution-mining circulation and blanket terminology
