zh	en	status	authority	source	forbidden	notes	source_id	category
盐穴	salt cavern	verified	literature	The role of underground salt caverns for large-scale energy storage		Generic engineering object; use plural when grammar requires.	SC13	salt-cavern
地下盐穴	underground salt cavern	verified	literature	The role of underground salt caverns for large-scale energy storage		Do not use underground cavity when the source specifically means a salt cavern.	SC13	salt-cavern
储气盐穴	gas storage salt cavern	verified	literature	Creep deformation analysis of gas storage in salt caverns		Use attributively; recast as salt cavern for gas storage when clearer.	SC06	salt-cavern
盐穴地下储气	underground gas storage in salt caverns	verified	literature	Key technologies for salt-cavern underground gas storage construction and evaluation		Phrase-level entry.	SC21	salt-cavern
盐穴储气库	salt-cavern gas storage facility	pending	inferred	API RP 1170 and SC21		Could mean the cavern, the well, or the whole facility; confirm from context before locking.	S01|SC21	salt-cavern
地下储氢	underground hydrogen storage	verified	literature	Comprehensive review of geomechanics of underground hydrogen storage		Define UHS at first use if repeatedly used.	SC11	hydrogen-storage
盐穴储氢	hydrogen storage in salt caverns	verified	literature	Large-scale hydrogen energy storage in salt caverns		Use salt cavern hydrogen storage attributively where grammatical.	SC14	hydrogen-storage
地质储氢	geological hydrogen storage	verified	literature	Comprehensive review of geomechanics of underground hydrogen storage		Geo-storage of hydrogen is an acceptable title-style variant, not the default prose form.	SC11|SC12	hydrogen-storage
压缩空气储能	compressed air energy storage	verified	literature	Analysis of compressed air storage caverns in rock salt		Define CAES at first use.	SC08	caes
盐穴压缩空气储能	salt cavern compressed air energy storage	verified	literature	Long-term stability analysis of salt cavern compressed air energy storage		Use SC-CAES only if the manuscript defines it.	SC16	caes
地下能源储存	underground energy storage	verified	literature	Stability and serviceability of underground energy storage caverns		Storage rather than reserve.	SC07	energy-storage
水溶开采	solution mining	verified	standard	API RP 1170		Process term.	S01	solution-mining
水溶造腔	solution mining	verified	standard	API RP 1170		Use solution-mined cavern for the resulting object, not for the process.	S01	solution-mining
溶腔	solution-mined cavern	verified	standard	API RP 1170		Object produced by solution mining.	S01	solution-mining
造腔	cavern construction	pending	inferred	Energy storage salt cavern construction and evaluation technology		May instead mean solution mining, leaching, or a specific construction stage; confirm locally.	SC23	solution-mining
