zh	en	sense_id	domain	category	context	context_cues	status	authority	source	source_id	cnki_frequency	cnki_evidence	selection	decision_scope	confirmed_by	confirmed_at	forbidden	notes
盐穴	salt cavern	salt_cavern_general	salt-cavern-construction	geology-and-facility	人工水溶形成并用于储存或工程用途的地下腔体	盐岩;地下储存;腔体;造腔	verified	standard	API RP 1170 and EN 1918-3	SC_STD01|SC_STD02	not-collected	cnki_query_unauthorized_2026-08-26					cave
盐岩	rock salt	rock_salt_material	salt-cavern-construction	geology	作为岩体或工程材料讨论	力学;蠕变;围岩;试样	verified	literature	Salt cavern literature	SC01|SC04	not-collected	cnki_query_unauthorized_2026-08-26					halite	区别于矿物 halite
岩盐	halite	halite_mineral	salt-cavern-construction	geology	指 NaCl 矿物组分	矿物;纯度;含量;晶体	context-dependent	literature	Salt formation studies	SC03|SC13	not-collected	cnki_query_unauthorized_2026-08-26					rock salt	如指岩体则用 rock salt
盐层	salt formation	salt_formation_general	salt-cavern-construction	geology	可用于造腔的地下含盐地层	埋深;厚度;目标层;地层	verified	standard	API RP 1170	SC_STD01|SC01	not-collected	cnki_query_unauthorized_2026-08-26						薄层语境可用 salt bed
层状盐岩	bedded rock salt	bedded_rock_salt	salt-cavern-construction	geology	层状沉积盐岩作为岩体	夹层;力学;层状;岩体	verified	literature	Bedded salt studies	SC04|SC05	not-collected	cnki_query_unauthorized_2026-08-26					layered rock salt
层状盐层	bedded salt formation	bedded_salt_formation	salt-cavern-construction	geology	地层尺度的层状盐矿体	地层;盐层;盐矿;勘探	recommended	literature	Bedded salt studies	SC05|SC14	not-collected	cnki_query_unauthorized_2026-08-26						强调 formation 而非材料
盐丘	salt dome	salt_dome	salt-cavern-construction	geology	底辟形成的穹隆状盐构造	底辟;丘状;穹隆;厚盐	verified	official	DOE technical document	SC_GOV01	not-collected	cnki_query_unauthorized_2026-08-26					salt hill
蒸发岩	evaporite	evaporite	salt-cavern-construction	geology	蒸发沉积形成的岩石组合	石膏;硬石膏;盐类;沉积	verified	literature	Bedded salt literature	SC05|SC14	not-collected	cnki_query_unauthorized_2026-08-26
目标盐层	target salt interval	target_salt_interval	salt-cavern-construction	site-selection	选定用于造腔的井深区间	目的层;井深;层段;造腔	recommended	literature	Construction studies	SC03|SC13	not-collected	cnki_query_unauthorized_2026-08-26						interval 适合井深区间
盖层	caprock	caprock_seal	salt-cavern-construction	geology	盐层上覆并承担封闭作用的地层	封闭;渗透率;上覆;密封	verified	literature	Storage design literature	SC05|SC14	not-collected	cnki_query_unauthorized_2026-08-26					overburden	仅一般上覆岩层时可用 overburden
