zh	en	sense_id	domain	category	context	context_cues	status	authority	source	source_id	cnki_frequency	cnki_evidence	selection	decision_scope	confirmed_by	confirmed_at	forbidden	notes
机器学习	machine learning	ml_general	geotechnical-machine-learning	model	从数据学习映射或规律的计算方法	数据;模型;训练;预测	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26						首次出现可定义 ML
监督学习	supervised learning	supervised_learning	geotechnical-machine-learning	model	利用带标签样本训练	标签;输入输出;训练集	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
无监督学习	unsupervised learning	unsupervised_learning	geotechnical-machine-learning	model	从无标签数据发现结构	聚类;降维;无标签	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
回归	regression	regression	geotechnical-machine-learning	model	预测连续目标变量	连续值;强度;沉降;位移	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
分类	classification	classification	geotechnical-machine-learning	model	预测离散类别标签	类别;失稳;风险等级	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
数据集	dataset	dataset	geotechnical-machine-learning	data	用于建模的一组数据	样本;记录;数据	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
训练集	training set	training_set	geotechnical-machine-learning	data	用于拟合模型参数的数据子集	训练;拟合;优化	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
验证集	validation set	validation_set	geotechnical-machine-learning	data	用于模型选择和超参数调整的数据子集	调参;早停;选择	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
测试集	test set	test_set	geotechnical-machine-learning	data	用于最终独立评估的数据子集	最终评估;泛化;留出	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
特征	feature	feature_ml	geotechnical-machine-learning	data	输入模型的可计算变量	输入;特征工程;列	context-dependent	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26					property	物理材料特性语境可能是 property
特征	property	property_material	geotechnical-machine-learning	geotechnical-quantity	岩土材料本身的物理或力学性质	材料;强度;渗透;本构	context-dependent	standard	ASTM D653	GEN_STD01	not-collected	blocked_by_human_verification_2026-08-26					feature	仅在材料性质语境使用
输入变量	input variable	input_variable	geotechnical-machine-learning	data	作为模型输入的变量	输入层;自变量;参数	verified	standard	ISO/IEC 22989	ML_STD01	not-collected	blocked_by_human_verification_2026-08-26
